Count	Strategy	Format	Time
100	Median	Unsorted	0.000262022
200	Median	Unsorted	0.000585079
300	Median	Unsorted	0.000841141
400	Median	Unsorted	0.00120401
500	Median	Unsorted	0.00161004
600	Median	Unsorted	0.00203514
700	Median	Unsorted	0.00223088
800	Median	Unsorted	0.00259495
900	Median	Unsorted	0.00293398
1000	Median	Unsorted	0.00328612
2000	Median	Unsorted	0.00738597
3000	Median	Unsorted	0.0111001
4000	Median	Unsorted	0.015034
5000	Median	Unsorted	0.0194969
6000	Median	Unsorted	0.023252
7000	Median	Unsorted	0.0274282
8000	Median	Unsorted	0.0329268
9000	Median	Unsorted	0.0376999
10000	Median	Unsorted	0.0398562
10*	Median	Sorted	2.38419e-05
100*	Median	Sorted	0.000259876
200*	Median	Sorted	0.000558138
300*	Median	Sorted	0.000823021
400*	Median	Sorted	0.00120091
500*	Median	Sorted	0.00134492
600*	Median	Sorted	0.00200105
700*	Median	Sorted	0.00217199
800*	Median	Sorted	0.00253892
900*	Median	Sorted	0.00272608
1000*	Median	Sorted	0.00290585
2000*	Median	Sorted	0.00629306
3000*	Median	Sorted	0.0108922
4000*	Median	Sorted	0.013643
5000*	Median	Sorted	0.0177531
6000*	Median	Sorted	0.0227902
7000*	Median	Sorted	0.0253589
8000*	Median	Sorted	0.0282929
9000*	Median	Sorted	0.0326319
10000*	Median	Sorted	0.03701
