Exponent	Iterative	Recursive
177	2.00272e-05	5.00679e-05
178	2.28882e-05	5.10216e-05
179	2.09808e-05	5.10216e-05
180	2.09808e-05	5.10216e-05
181	2.09808e-05	5.19753e-05
182	2.09808e-05	5.4121e-05
183	2.19345e-05	5.19753e-05
184	2.81334e-05	5.29289e-05
185	2.19345e-05	5.31673e-05
186	2.47955e-05	5.31673e-05
187	2.19345e-05	5.6982e-05
188	2.31266e-05	5.60284e-05
189	2.28882e-05	5.6982e-05
190	2.21729e-05	5.48363e-05
191	2.31266e-05	5.48363e-05
192	2.21729e-05	5.48363e-05
193	2.31266e-05	5.60284e-05
194	2.31266e-05	5.60284e-05
195	2.5034e-05	5.57899e-05
196	2.88486e-05	5.6982e-05
197	2.31266e-05	5.6982e-05
198	2.28882e-05	5.88894e-05
199	2.31266e-05	5.6982e-05
200	2.28882e-05	5.6982e-05
201	2.38419e-05	5.81741e-05
202	2.38419e-05	5.91278e-05
203	2.69413e-05	5.88894e-05
204	2.38419e-05	6.00815e-05
205	2.40803e-05	5.98431e-05
206	2.40803e-05	6.29425e-05
207	2.5034e-05	7.29561e-05
208	3.09944e-05	0.000110149
209	2.90871e-05	6.10352e-05
210	2.5034e-05	6.10352e-05
211	2.47955e-05	6.07967e-05
212	2.47955e-05	6.22272e-05
213	2.6226e-05	6.19888e-05
214	2.59876e-05	6.69956e-05
215	2.5034e-05	6.29425e-05
216	2.59876e-05	6.29425e-05
217	2.59876e-05	9.41753e-05
218	2.69413e-05	6.38962e-05
219	2.59876e-05	6.38962e-05
220	2.59876e-05	6.50883e-05
221	2.69413e-05	6.50883e-05
222	2.59876e-05	6.79493e-05
223	2.71797e-05	6.79493e-05
224	2.69413e-05	6.60419e-05
225	2.71797e-05	6.58035e-05
226	2.71797e-05	6.69956e-05
227	3.29018e-05	6.69956e-05
228	2.7895e-05	6.79493e-05
229	2.81334e-05	6.79493e-05
230	2.7895e-05	7.10487e-05
231	2.81334e-05	7.20024e-05
232	2.7895e-05	6.91414e-05
233	2.7895e-05	7.00951e-05
234	2.7895e-05	6.98566e-05
235	2.81334e-05	6.98566e-05
236	2.90871e-05	8.10623e-05
237	2.81334e-05	7.10487e-05
238	2.7895e-05	7.39098e-05
239	2.90871e-05	7.20024e-05
240	3.00407e-05	7.48634e-05
241	3.00407e-05	7.29561e-05
242	2.90871e-05	7.29561e-05
243	2.90871e-05	7.39098e-05
244	2.90871e-05	7.29561e-05
245	2.90871e-05	8.01086e-05
246	2.90871e-05	7.79629e-05
247	3.00407e-05	7.51019e-05
248	3.09944e-05	7.79629e-05
249	3.00407e-05	7.60555e-05
250	3.09944e-05	7.60555e-05
251	3.09944e-05	7.58171e-05
252	3.00407e-05	7.58171e-05
253	3.09944e-05	7.82013e-05
254	3.09944e-05	8.79765e-05
255	3.09944e-05	7.89165e-05
256	3.09944e-05	7.79629e-05
257	3.09944e-05	8.2016e-05
258	3.09944e-05	7.9155e-05
259	3.09944e-05	7.98702e-05
260	3.21865e-05	7.98702e-05
261	3.21865e-05	7.98702e-05
262	3.09944e-05	8.60691e-05
263	3.21865e-05	8.2016e-05
264	3.19481e-05	8.2016e-05
265	3.21865e-05	8.39233e-05
266	3.21865e-05	8.29697e-05
267	3.29018e-05	8.29697e-05
268	3.19481e-05	8.29697e-05
269	3.21865e-05	8.29697e-05
270	3.29018e-05	8.82149e-05
271	3.88622e-05	8.51154e-05
272	3.40939e-05	8.39233e-05
273	3.40939e-05	8.4877e-05
274	3.29018e-05	8.89301e-05
275	3.38554e-05	8.60691e-05
276	3.40939e-05	8.58307e-05
277	3.38554e-05	8.60691e-05
278	3.40939e-05	0.000282049
279	4.00543e-05	8.79765e-05
280	3.38554e-05	8.70228e-05
281	3.38554e-05	8.82149e-05
282	3.38554e-05	8.98838e-05
283	3.50475e-05	8.89301e-05
284	3.48091e-05	8.91685e-05
285	4.1008e-05	9.10759e-05
286	3.50475e-05	9.39369e-05
287	3.50475e-05	9.10759e-05
288	3.50475e-05	9.39369e-05
289	3.60012e-05	9.10759e-05
290	3.50475e-05	9.20296e-05
291	3.60012e-05	9.20296e-05
292	3.60012e-05	9.98974e-05
293	3.60012e-05	9.29832e-05
294	3.60012e-05	0.000226021
295	3.60012e-05	9.39369e-05
296	3.60012e-05	9.799e-05
297	3.71933e-05	9.48906e-05
298	3.60012e-05	0.000101089
299	3.69549e-05	9.70364e-05
300	3.69549e-05	9.60827e-05
301	3.69549e-05	9.60827e-05
302	3.69549e-05	0.000102997
303	3.69549e-05	9.60827e-05
304	3.79086e-05	9.799e-05
305	3.8147e-05	0.000108004
306	3.8147e-05	9.98974e-05
307	3.8147e-05	9.89437e-05
308	3.79086e-05	9.91821e-05
309	3.79086e-05	0.000100136
310	3.88622e-05	0.000102997
311	3.88622e-05	0.000101089
312	3.88622e-05	0.000114202
313	3.91006e-05	0.000104904
314	3.91006e-05	0.000112057
315	3.91006e-05	0.000101805
316	3.88622e-05	0.000102997
317	3.91006e-05	0.000102043
318	3.91006e-05	0.000105858
319	4.48227e-05	0.000101805
320	3.91006e-05	0.000102043
321	4.00543e-05	0.000103951
322	4.00543e-05	0.000105858
323	3.98159e-05	0.000104189
324	4.1008e-05	0.000103951
325	4.1008e-05	0.000108004
326	4.91142e-05	0.000114918
327	4.1008e-05	0.000104904
328	4.1008e-05	0.000108957
329	4.1008e-05	0.000105858
330	4.1008e-05	0.000105858
331	4.1008e-05	0.000108004
332	4.72069e-05	0.000108004
333	4.19617e-05	0.000108004
334	4.1008e-05	0.000112057
335	4.19617e-05	0.000109196
336	4.19617e-05	0.000108957
337	4.19617e-05	0.000112057
338	4.19617e-05	0.000115871
339	4.19617e-05	0.000112057
340	4.29153e-05	0.000110149
341	4.29153e-05	0.000112057
342	4.19617e-05	0.000114202
343	4.29153e-05	0.000111103
344	4.31538e-05	0.000118971
345	4.31538e-05	0.000111818
346	4.29153e-05	0.00011611
347	4.29153e-05	0.00011301
348	4.3869e-05	0.000113964
349	4.3869e-05	0.000113964
350	4.41074e-05	0.000124931
351	4.3869e-05	0.00011611
352	4.3869e-05	0.000113964
353	4.41074e-05	0.000115871
354	4.41074e-05	0.000119925
355	4.3869e-05	0.00011611
356	4.41074e-05	0.000123978
357	4.50611e-05	0.000117064
358	4.50611e-05	0.000121117
359	4.50611e-05	0.000118971
360	4.60148e-05	0.000119925
361	4.60148e-05	0.000118971
362	4.50611e-05	0.000126839
363	4.60148e-05	0.000123978
364	4.60148e-05	0.000120878
365	4.69685e-05	0.000119925
366	4.60148e-05	0.00012517
367	4.60148e-05	0.000123024
368	4.69685e-05	0.000128984
369	4.60148e-05	0.000123024
370	4.69685e-05	0.000123024
371	4.60148e-05	0.00012517
372	4.69685e-05	0.000123978
373	4.72069e-05	0.000138044
374	4.69685e-05	0.00013113
375	4.79221e-05	0.000127077
376	4.81606e-05	0.000126839
377	4.79221e-05	0.000129938
378	4.79221e-05	0.000320911
379	5.31673e-05	0.000129938
380	4.79221e-05	0.000128031
381	4.79221e-05	0.000128031
382	4.81606e-05	0.000132799
383	4.88758e-05	0.000137091
384	4.91142e-05	0.000130892
385	4.88758e-05	0.000132084
386	4.91142e-05	0.000130892
387	4.88758e-05	0.00013113
388	4.91142e-05	0.000138998
389	5.00679e-05	0.000131845
390	4.88758e-05	0.000137091
391	5.00679e-05	0.000133991
392	5.00679e-05	0.000133991
393	5.00679e-05	0.000140905
394	5.00679e-05	0.000136852
395	5.10216e-05	0.000134945
396	5.10216e-05	0.000134945
397	5.10216e-05	0.000135899
398	5.19753e-05	0.000144958
399	5.10216e-05	0.000135899
400	5.19753e-05	0.000136852
401	5.10216e-05	0.000136852
402	5.19753e-05	0.000140905
403	5.19753e-05	0.000146151
404	5.22137e-05	0.000138998
405	5.19753e-05	0.000139952
406	5.31673e-05	0.000144005
407	5.19753e-05	0.000139952
408	5.19753e-05	0.000150919
409	5.29289e-05	0.000140905
410	5.29289e-05	0.000140905
411	5.29289e-05	0.000140905
412	5.29289e-05	0.000142097
413	5.29289e-05	0.000149012
414	5.29289e-05	0.000145912
415	5.29289e-05	0.000142097
416	5.38826e-05	0.000142097
417	5.4121e-05	0.000152826
418	5.38826e-05	0.000153065
419	5.60284e-05	0.000144005
420	5.38826e-05	0.000141144
421	5.50747e-05	0.000140905
422	5.4121e-05	0.000144958
423	5.4121e-05	0.000154018
424	5.50747e-05	0.000143051
425	5.50747e-05	0.000144005
426	5.48363e-05	0.000142097
427	5.50747e-05	0.000149965
428	5.48363e-05	0.000149012
429	5.57899e-05	0.000143051
430	5.60284e-05	0.000148058
431	5.60284e-05	0.000144005
432	5.60284e-05	0.000144005
433	6.22272e-05	0.000144958
434	5.6982e-05	0.000145912
435	5.6982e-05	0.000149965
436	5.60284e-05	0.000147104
437	5.6982e-05	0.000153065
438	5.6982e-05	0.000149965
439	5.6982e-05	0.000148058
440	5.6982e-05	0.000147104
441	5.6982e-05	0.000149012
442	5.6982e-05	0.000155926
443	5.6982e-05	0.000149965
